customer_id,full_name,gender,city,occupation,province,date_of_birth,monthly_income_pkr,onboard_date,credit_score
C107018,Imran Raza,M,Multan,Salaried - Government,Punjab,1999-08-03,72700.0,2023-05-20,863.0
C106790,Tariq Malik,F,Rawalpindi,Retired,Punjab,1986-05-14,60600.0,2025-02-11,683.0
C109748,Noman Hussain,M,Lahore ,Self Employed,Punjab,2001-06-14,115900.0,01/10/2023,735.0
C107316,Sana Khan,F,Karachi,Salaried - Government,Sindh,1993-07-18,,2022-09-13,464.0
C109242,Hina Shaikh,F,Quetta,Retired,Balochistan,1988-08-16,27600.0,15/05/2025,610.0
C102902,Hina Chaudhry,F,Peshawar,Salaried - Private,Khyber Pakhtunkhwa,2000-06-29,92500.0,2022-11-18,749.0
C102162,Hina Qureshi,Female,peshawar,Self Employed,Khyber Pakhtunkhwa,1991-06-28,112100.0,2023-01-10,789.0
C105987,Noman Shaikh,F,Hyderabad,Student,Sindh,1985-04-19,15000.0,2022-05-30,602.0
C103591,Maryam Baloch,Female,DI Khan,Salaried - Government,Khyber Pakhtunkhwa,1991-08-22,47500.0,21/09/2023,697.0
C111530,Sadia Chaudhry,F,Sialkot,Salaried - Private,Punjab,1985-02-26,,12/09/2024,708.0
C106709,Ahmed Raza,Female,Islamabad,Salaried - Government,Islamabad,1983-11-10,74600.0,24/11/2025,
C102445,Komal Durrani,Female,Faisalabad,Salaried - Private,Punjab,1990-06-22,160500.0,2022-11-14,652.0
C106693,Bilal Hussain,M,Rawalpindi,Student,Punjab,1983-12-18,22300.0,2025-08-07,763.0
C109108,Sana Malik,M,LHR,Salaried - Government,Punjab,2001-08-02,,2023-06-15,549.0
C103007,Noman Durrani,F,Lahore,Business Owner,Punjab,1985-04-22,307000.0,24/12/2024,746.0
C103639,Shahid Khan,M,Karachi,Salaried - Private,Sindh,1996-12-31,49100.0,2022-08-29,850.0
C105360,Usman Hussain,M,Faisalabad,Retired,Punjab,1996-04-11,50200.0,2023-06-01,593.0
C104361,Ahmed Hussain,M,Lahore,Self Employed,Punjab,2005-01-05,89900.0,29/01/2025,540.0
C102674,Usman Butt,M,peshawar,Salaried - Private,Khyber Pakhtunkhwa,1979-05-11,88600.0,2025-11-15,675.0
C109485,Kamran Khan,F,Rawalpindi,Salaried - Government,Punjab,1999-09-19,59800.0,13/04/2022,614.0
C100933,Fahad Gul,Male,Sialkot,Salaried - Government,Punjab,1971-12-18,84700.0,2022-12-04,634.0
C110913,Noman Gul,M,islamabad,Salaried - Private,Islamabad,1986-12-12,83400.0,2024-11-11,613.0
C111498,Adnan Gul,F,Peshawar,Salaried - Private,Khyber Pakhtunkhwa,1979-09-12,73400.0,2023-08-29,667.0
C111390,Ahmed Raza,F,LHR,Salaried - Private,Punjab,1993-02-05,122200.0,03/08/2024,678.0
C105406,Zara Baloch,M,islamabad,Business Owner,Islamabad,1968-01-14,174100.0,2023-07-02,685.0
C108158,Usman Butt,M,Multan,Salaried - Private,Punjab,1979-10-21,,2024-04-23,523.0
C110729,Ahmed Raza,M,Rawalpindi,Salaried - Government,Punjab,1978-12-01,,2022-01-08,678.0
C102826,Maryam Butt,M,Lahore,Self Employed,Punjab,1991-08-23,64400.0,2023-11-10,660.0
C100115,Ayesha Qureshi,F,karachi,Retired,Sindh,1997-09-12,66600.0,2025-07-11,653.0
C107054,Ayesha Hussain,M,Karachi,Salaried - Private,Sindh,1999-09-14,115300.0,12/01/2024,791.0
C105408,Imran Khan,M,Sialkot,Salaried - Private,Punjab,1975-04-02,157900.0,2024-01-30,605.0
C104844,Adnan Durrani,F,Lahore,Freelancer,Punjab,2000-01-31,,29/07/2022,751.0
C105550,Komal Qureshi,M,Multan,Self Employed,Punjab,2006-09-18,70200.0,2025-09-19,656.0
C101411,Farah Hussain,M,Karachi,Self Employed,Sindh,2007-12-13,98200.0,2022-11-02,699.0
C104397,Ayesha Butt,M,islamabad,Salaried - Private,Islamabad,2007-08-08,51300.0,2023-08-04,735.0
C106826,Ahmed Raza,M,Karachi,Salaried - Private,Sindh,1974-07-08,92000.0,2024-07-29,507.0
C105322,Noman Raza,F,Multan,Salaried - Government,Punjab,2005-08-16,48200.0,2023-04-03,846.0
C106161,Maryam Raza,M,karachi,Student,Sindh,1982-11-07,15900.0,2023-10-19,465.0
C109396,Komal Qureshi,M,Faisalabad,Salaried - Government,Punjab,2001-02-14,51700.0,2024-04-04,465.0
C105310,Komal Iqbal,M,Faisalabad,Retired,Punjab,1984-11-02,36000.0,2025-08-25,772.0
C111524,Imran Baloch,M,Faisalabad,Salaried - Government,Punjab,1988-05-23,52000.0,2022-11-16,719.0
C107081,Sadia Hussain,M,Lahore ,Salaried - Private,Punjab,2007-06-13,85000.0,08/12/2024,758.0
C100324,Imran Gul,F,Karachi,Business Owner,Sindh,1999-02-26,171400.0,2025-04-28,524.0
C101173,Ayesha Malik,M,karachi,Self Employed,Sindh,2006-02-27,71700.0,2025-08-05,657.0
C108650,Fahad Shaikh,Male,Karachi,Salaried - Private,Sindh,1991-08-25,187600.0,2023-04-12,712.0
C108140,Komal Gul,F,Faisalabad,Self Employed,Punjab,1962-02-19,93900.0,2024-09-18,630.0
C107745,Rabia Gul,F,Karachi,Salaried - Government,Sindh,1998-07-14,51100.0,2025-04-06,543.0
C104217,Sadia Gul,F,Karachi,Self Employed,Sindh,1983-11-15,154300.0,24/05/2022,744.0
C100330,Ayesha Durrani,M,Lahore,Business Owner,Punjab,1982-11-08,82700.0,01/06/2023,671.0
C108579,Noman Shaikh,M,Karachi,Salaried - Private,Sindh,1972-04-20,123500.0,2024-04-03,664.0
C110279,Adnan Baloch,M,Peshawar,Salaried - Government,Khyber Pakhtunkhwa,2007-09-12,70500.0,2025-04-05,725.0
C103931,Kamran Baloch,M,Karachi,Salaried - Government,Sindh,1961-07-12,71000.0,2024-01-31,581.0
C103272,Tariq Raza,Male,DI Khan,Salaried - Government,Khyber Pakhtunkhwa,1967-08-03,78000.0,2024-04-12,627.0
C110905,Sadia Hussain,M,Karachi,Salaried - Government,Sindh,1991-09-14,80700.0,2024-09-13,709.0
C110863,Usman Qureshi,M,peshawar,Salaried - Private,Khyber Pakhtunkhwa,1993-10-04,,2022-11-04,607.0
C101461,Zara Hussain,M,Hyderabad,Self Employed,Sindh,1970-11-28,68500.0,12/12/2023,575.0
C106128,Rabia Chaudhry,F,Karachi,Business Owner,Sindh,1981-09-09,443300.0,2024-07-06,668.0
C110755,Hina Shaikh,F,Multan,Business Owner,Punjab,1960-09-29,264200.0,2024-05-01,704.0
C105695,Tariq Ansari,F,KARACHI,Freelancer,Sindh,1974-04-03,192400.0,2022-12-05,765.0
C108747,Fahad Gul,M,Hyderabad,Salaried - Government,Sindh,1991-10-09,59900.0,2024-07-18,621.0
C105465,Hina Raza,M,Lahore,Salaried - Private,Punjab,1992-11-06,106600.0,2025-01-22,585.0
C110040,Usman Chaudhry,F,Karachi,Self Employed,Sindh,2003-10-23,194100.0,2022-04-21,717.0
C105526,Hina Baloch,M,Hyderabad,Business Owner,Sindh,1997-02-04,150700.0,16/07/2022,747.0
C111004,Adnan Baloch,M,Lahore,Salaried - Government,Punjab,1991-10-25,81100.0,2025-06-06,634.0
C103276,Sana Malik,Male,Faisalabad,Business Owner,Punjab,1986-11-11,302700.0,06/04/2025,737.0
C100049,Hina Raza,M,Hyderabad,Salaried - Private,Sindh,1987-02-16,181500.0,03/01/2025,592.0
C102316,Kamran Gul,M,Multan,Salaried - Private,Punjab,1969-06-30,141500.0,2023-07-30,765.0
C108635,Komal Qureshi,F,Karachi,Salaried - Private,Sindh,2000-03-07,96800.0,2025-05-19,678.0
C110790,Ahmed Malik,M,Karachi,Salaried - Government,Sindh,1984-11-24,59900.0,14/03/2025,561.0
C102005,Imran Ansari,F,peshawar,Self Employed,Khyber Pakhtunkhwa,1994-01-04,102700.0,2025-01-11,598.0
C108866,Adnan Gul,Male,Lahore,Self Employed,Punjab,1993-04-04,50500.0,2023-05-15,576.0
C109229,Bilal Baloch,F,Peshawar,Freelancer,Khyber Pakhtunkhwa,1983-03-11,112600.0,2022-09-16,559.0
C107228,Zara Qureshi,M,Rawalpindi,Salaried - Private,Punjab,1991-12-05,65200.0,2023-05-08,667.0
C102350,Komal Durrani,M,Sialkot,Salaried - Private,Punjab,1995-07-07,67700.0,16/07/2023,519.0
C103526,Nida Iqbal,M,Lahore,Business Owner,Punjab,1991-06-07,125700.0,2025-10-12,743.0
C103749,Usman Chaudhry,F,ISB,Student,Islamabad,1983-06-19,55700.0,2023-05-23,609.0
C105169,Nida Gul,Female,Multan,Salaried - Government,Punjab,1990-03-12,164300.0,2024-03-09,666.0
C106173,Usman Qureshi,F,Faisalabad,Salaried - Private,Punjab,1988-09-16,178200.0,2022-09-05,638.0
C108504,Kamran Gul,M,Karachi,Self Employed,Sindh,1985-02-21,364200.0,2022-02-13,730.0
C106378,Rabia Malik,F,Islamabad,Business Owner,Islamabad,1987-07-06,321200.0,2024-01-09,760.0
C102571,Nida Butt,M, Karachi ,Salaried - Private,Sindh,1981-09-23,129400.0,2022-04-16,766.0
C105939,Kamran Malik,Male,Lahore,Freelancer,Punjab,1993-11-25,193100.0,2023-06-28,758.0
C110477,Maryam Raza,M,Karachi,Student,Sindh,1981-09-22,64100.0,2023-01-15,590.0
C104360,Shahid Iqbal,F,Peshawar,Salaried - Private,Khyber Pakhtunkhwa,1976-03-01,40500.0,2024-12-06,605.0
C105718,Bilal Chaudhry,F, Karachi ,Salaried - Private,Sindh,2006-08-31,122100.0,2023-06-10,687.0
C109319,Ayesha Shaikh,F,Islamabad,Self Employed,Islamabad,2005-05-02,76200.0,20/02/2022,625.0
C109930,Bilal Gul,M,karachi,Salaried - Private,Sindh,2005-03-30,73900.0,2025-11-28,651.0
C103037,Tariq Baloch,M,lahore,Salaried - Private,Punjab,1988-09-08,55200.0,2023-09-05,710.0
C101331,Imran Qureshi,F,Karachi ,Student,Sindh,1982-07-13,61300.0,2023-01-21,468.0
C100380,Ahmed Khan,Male,Lahore,Salaried - Private,Punjab,1999-04-02,113700.0,2024-03-23,549.0
C108415,Sadia Butt,F,Multan,Business Owner,Punjab,1970-01-06,311000.0,28/11/2024,703.0
C106053,Sadia Baloch,Male,Quetta,Salaried - Private,Balochistan,2007-09-03,121200.0,02/07/2022,619.0
C111521,Imran Raza,M,Karachi,Freelancer,Sindh,2006-07-26,138900.0,08/12/2023,
C106969,Bilal Gul,F,Lahore ,Self Employed,Punjab,2007-12-09,,18/03/2022,795.0
C110698,Zara Hussain,M,Hyderabad,Business Owner,Sindh,1990-12-13,261000.0,2022-09-11,755.0
C104127,Kamran Hussain,F,Karachi,Salaried - Private,Sindh,1983-09-19,77500.0,2023-09-03,
C105340,Rabia Gul,Female,Multan,Retired,Punjab,1954-06-01,73100.0,2022-03-17,608.0
C100569,Maryam Ansari,M,Peshawar,Self Employed,Khyber Pakhtunkhwa,1985-07-16,287900.0,15/01/2023,726.0
C107813,Ayesha Durrani,M, Karachi ,Freelancer,Sindh,2006-06-05,84300.0,2023-06-23,558.0
C106701,Bilal Baloch,F,Karachi,Retired,Sindh,1988-12-04,31100.0,2022-01-31,
C106230,Usman Hussain,M,Lahore,Salaried - Government,Punjab,1978-02-26,160500.0,2024-02-15,776.0
C111765,Tariq Malik,M,LHR,Freelancer,Punjab,1987-11-26,112600.0,2023-11-13,758.0
C111517,Shahid Ansari,M,Sialkot,Freelancer,Punjab,2000-11-29,340200.0,2025-07-13,741.0
C101862,Hina Iqbal,Male,Lahore,Salaried - Private,Punjab,1997-07-09,73600.0,2022-01-25,541.0
C101177,Rabia Durrani,M, Karachi ,Salaried - Private,Sindh,1982-09-26,105500.0,2025-06-30,579.0
C107655,Fahad Chaudhry,M,Multan,Student,Punjab,1996-03-27,15000.0,2025-04-19,683.0
C102854,Bilal Abbasi,M,PESHAWAR,Self Employed,Khyber Pakhtunkhwa,1984-10-06,203400.0,2023-01-26,696.0
C100273,Zara Baloch,M,Sialkot,Business Owner,Punjab,1979-12-25,159900.0,2022-09-25,658.0
C109106,Nida Khan,Male,Karachi ,Self Employed,Sindh,2007-06-08,116000.0,14/10/2024,721.0
C111421,Rabia Hussain,Female,Faisalabad,Self Employed,Punjab,1968-04-04,177700.0,2023-02-13,614.0
C107481,Nida Ansari,M,Islamabad,Freelancer,Islamabad,1985-06-28,59400.0,31/10/2024,605.0
C101160,Maryam Abbasi,M,Multan,Salaried - Government,Punjab,1980-03-02,39900.0,2024-04-10,647.0
C110840,Farah Gul,Male,Rawalpindi,Retired,Punjab,1994-10-25,15000.0,14/08/2025,549.0
C109198,Sadia Khan,M,Multan,Self Employed,Punjab,1991-02-10,172400.0,2024-02-26,751.0
C105043,Noman Malik,M,Quetta,Self Employed,Balochistan,1978-11-14,104800.0,2025-04-15,541.0
C107215,Imran Abbasi,Male,Multan,Salaried - Government,Punjab,1978-05-31,73000.0,2022-10-15,710.0
C103002,Imran Abbasi,M,Faisalabad,Business Owner,Punjab,1984-03-16,330900.0,2025-01-02,564.0
C103340,Farah Raza,F,Faisalabad,Self Employed,Punjab,1993-01-31,165700.0,24/08/2022,605.0
C107428,Maryam Butt,M,karachi,Self Employed,Sindh,1984-12-31,212200.0,2024-09-06,746.0
C103584,Maryam Baloch,Male,Karachi,Salaried - Government,Sindh,1987-04-24,129300.0,2024-05-14,770.0
C111223,Bilal Abbasi,M,Peshawar,Business Owner,Khyber Pakhtunkhwa,1984-10-08,94200.0,22/06/2024,806.0
C103225,Hina Ansari,Male,Karachi,Self Employed,Sindh,1972-10-25,295000.0,2024-12-09,756.0
C109771,Tariq Chaudhry,F,karachi,Business Owner,Sindh,1961-06-12,190500.0,2022-07-12,801.0
C100236,Kamran Baloch,M,Dera Ismail Khan,Student,Khyber Pakhtunkhwa,1999-10-30,24000.0,31/08/2025,579.0
C106056,Kamran Khan,F,Karachi,Salaried - Government,Sindh,2002-03-14,89100.0,06/05/2024,722.0
C101958,Kamran Butt,M,Karachi ,Salaried - Government,Sindh,1986-08-09,61400.0,2022-04-12,760.0
C110552,Imran Abbasi,M,Lahore,Retired,Punjab,2007-10-22,24000.0,2023-02-05,785.0
C110235,Shahid Malik,F,Islamabad,Salaried - Government,Islamabad,1978-09-13,,2024-11-09,581.0
C109821,Bilal Abbasi,M,Dera Ismail Khan,Freelancer,Khyber Pakhtunkhwa,1965-10-05,289100.0,15/10/2025,637.0
C110230,Farah Durrani,M,Dera Ismail Khan,Student,Khyber Pakhtunkhwa,1987-05-06,23600.0,2023-02-09,642.0
C106277,Nida Hussain,M,Multan,Retired,Punjab,1978-09-16,78500.0,2023-02-03,705.0
C101717,Noman Chaudhry,M,Dera Ismail Khan,Business Owner,Khyber Pakhtunkhwa,1973-06-06,195500.0,04/06/2022,465.0
C104042,Fahad Raza,F,Sialkot,Salaried - Private,Punjab,2006-05-02,41800.0,07/08/2022,751.0
C101377,Farah Qureshi,M,Faisalabad,Business Owner,Punjab,1995-11-17,141500.0,2025-11-11,642.0
C108185,Rabia Shaikh,F,Rawalpindi,Salaried - Private,Punjab,1984-08-12,96300.0,2022-07-17,588.0
C102963,Bilal Abbasi,M,Karachi,Salaried - Private,Sindh,2007-01-08,58900.0,2023-09-01,503.0
C102675,Kamran Iqbal,F, Karachi ,Salaried - Private,Sindh,1967-07-18,135100.0,26/08/2024,612.0
C107284,Fahad Shaikh,F,Multan,Retired,Punjab,1999-02-09,83000.0,2025-03-17,550.0
C108297,Imran Abbasi,M, Karachi ,Business Owner,Sindh,1974-07-01,163600.0,2023-02-20,587.0
C107739,Komal Shaikh,F,Peshawar,Salaried - Private,Khyber Pakhtunkhwa,1983-09-07,157400.0,05/06/2023,646.0
C103892,Ahmed Hussain,M,Peshawar,Self Employed,Khyber Pakhtunkhwa,1992-06-29,152600.0,2022-10-28,612.0
C106761,Nida Durrani,M,Islamabad,Salaried - Private,Islamabad,1984-09-18,66500.0,2025-03-16,671.0
C107851,Sana Chaudhry,M,lahore,Salaried - Private,Punjab,1975-04-08,98300.0,2022-11-29,791.0
C100523,Tariq Abbasi,M,KARACHI,Salaried - Government,Sindh,2006-11-07,80200.0,2025-04-06,708.0
C111576,Sana Gul,M,Karachi,Salaried - Government,Sindh,1983-03-17,66700.0,02/10/2022,614.0
C102557,Noman Iqbal,F,Peshawar,Business Owner,Khyber Pakhtunkhwa,1998-06-03,81000.0,05/04/2024,737.0
C109764,Farah Iqbal,M,Lahore,Salaried - Private,Punjab,1971-01-11,112600.0,10/01/2025,803.0
C104595,Fahad Khan,Female,KARACHI,Salaried - Private,Sindh,1988-08-02,200900.0,2024-02-09,441.0
C102625,Farah Hussain,Female,peshawar,Retired,Khyber Pakhtunkhwa,1977-11-08,43600.0,06/06/2023,
C110092,Adnan Butt,M,ISB,Freelancer,Islamabad,1990-09-30,217600.0,01/10/2025,823.0
C100313,Nida Chaudhry,Male,Karachi,Salaried - Government,Sindh,1974-05-20,66300.0,06/07/2025,
C105923,Rabia Qureshi,F,Multan,Self Employed,Punjab,1990-02-17,100000.0,2023-02-05,664.0
C101362,Fahad Durrani,M,Rawalpindi,Self Employed,Punjab,1999-08-02,153700.0,2024-09-30,889.0
C105922,Fahad Ansari,M,Lahore,Business Owner,Punjab,2006-10-09,126900.0,26/08/2022,501.0
C109387,Rabia Abbasi,M,Karachi,Self Employed,Sindh,1987-11-17,,2023-02-01,663.0
C108746,Rabia Abbasi,F,peshawar,Self Employed,Khyber Pakhtunkhwa,1982-08-03,175700.0,06/03/2022,522.0
C101875,Rabia Malik,Male,Lahore,Salaried - Private,Punjab,1983-06-02,120700.0,2024-04-07,670.0
C109093,Ahmed Abbasi,M,Karachi ,Salaried - Private,Sindh,2003-02-23,59600.0,2024-12-18,482.0
C106931,Usman Durrani,M,Islamabad,Salaried - Private,Islamabad,1986-07-02,86100.0,2025-03-08,664.0
C111003,Tariq Iqbal,F,Sialkot,Salaried - Private,Punjab,1954-01-26,153000.0,2022-04-19,698.0
C104983,Tariq Butt,Male,Lahore,Salaried - Private,Punjab,1983-05-19,257500.0,2023-08-26,583.0
C109480,Tariq Durrani,M,Karachi,Salaried - Private,Sindh,2000-01-04,182400.0,2023-05-14,680.0
C105486,Hina Malik,M,Sialkot,Retired,Punjab,1966-01-10,36000.0,2025-11-07,717.0
C107786,Sana Abbasi,M,Sialkot,Salaried - Private,Punjab,1985-06-05,143100.0,2023-02-10,525.0
C101446,Nida Raza,M,lahore,Retired,Punjab,1998-09-15,35500.0,22/04/2025,631.0
C109516,Tariq Shaikh,F,Lahore,Self Employed,Punjab,1982-11-04,213200.0,2025-09-26,546.0
C102534,Tariq Qureshi,F,lahore,Salaried - Private,Punjab,1974-12-29,182800.0,03/10/2022,822.0
C109321,Tariq Iqbal,F, Karachi ,Retired,Sindh,1990-06-27,48000.0,2022-03-09,718.0
C105263,Ahmed Abbasi,F,D.I. Khan,Salaried - Private,Khyber Pakhtunkhwa,2006-12-16,139100.0,2025-03-04,528.0
C107845,Ayesha Abbasi,F,Islamabad,Salaried - Private,Islamabad,2003-05-31,125500.0,12/01/2025,691.0
C107911,Farah Khan,F,Karachi,Salaried - Private,Sindh,1995-05-16,54700.0,2025-09-07,643.0
C107596,Noman Iqbal,M,ISB,Salaried - Private,Islamabad,1976-01-16,72800.0,20/01/2022,716.0
C108519,Fahad Raza,F,Karachi,Salaried - Private,Sindh,2000-01-21,78200.0,2025-08-08,697.0
C101685,Fahad Durrani,Female,ISB,Student,Islamabad,1998-04-14,25900.0,2023-10-11,679.0
C108931,Adnan Durrani,M,ISB,Self Employed,Islamabad,1998-12-11,98900.0,09/11/2022,733.0
C105463,Farah Iqbal,F,Faisalabad,Self Employed,Punjab,1982-07-05,312100.0,2022-04-25,635.0
C107705,Kamran Gul,Male,Multan,Retired,Punjab,1994-08-02,28000.0,2022-09-09,644.0
C108446,Bilal Butt,M,Karachi,Salaried - Government,Sindh,1976-02-26,66500.0,29/10/2024,718.0
C102936,Shahid Qureshi,F,Islamabad,Salaried - Private,Islamabad,1997-08-28,83700.0,14/12/2024,670.0
C105560,Bilal Butt,Male,Karachi,Self Employed,Sindh,2007-08-21,169800.0,2023-11-21,703.0
C106522,Noman Hussain,M,Islamabad,Salaried - Government,Islamabad,1983-03-17,205100.0,02/05/2022,769.0
C103275,Shahid Gul,M,Hyderabad,Salaried - Private,Sindh,1986-02-14,155100.0,10/05/2023,650.0
C111077,Imran Ansari,M,Karachi,Business Owner,Sindh,1993-11-27,,2023-04-25,762.0
C102410,Shahid Shaikh,M,Karachi ,Salaried - Private,Sindh,1980-10-24,91200.0,2024-10-29,511.0
C106282,Sana Hussain,M,Karachi,Salaried - Government,Sindh,1966-05-16,103500.0,2025-11-14,636.0
C111649,Usman Khan,F,Rawalpindi,Self Employed,Punjab,1993-07-18,,2022-01-23,600.0
C100097,Komal Khan,F,Hyderabad,Salaried - Private,Sindh,1972-04-12,98300.0,11/05/2025,612.0
C106139,Ahmed Ansari,M,lahore,Salaried - Private,Punjab,1971-09-22,,2025-05-12,530.0
C106401,Adnan Durrani,Male,Peshawar,Freelancer,Khyber Pakhtunkhwa,1981-08-26,102100.0,2025-08-31,545.0
C106974,Sadia Iqbal,M,Karachi ,Salaried - Private,Sindh,1985-06-27,60500.0,28/10/2025,547.0
C103977,Bilal Butt,F,Faisalabad,Salaried - Government,Punjab,1992-12-22,84500.0,2023-05-08,589.0
C111882,Komal Gul,M,Karachi,Salaried - Government,Sindh,2007-06-24,88300.0,2025-08-24,
C101195,Usman Malik,Female,Karachi,Salaried - Private,Sindh,2000-05-29,55800.0,2024-01-02,613.0
C106914,Nida Qureshi,Male,Multan,Salaried - Private,Punjab,2007-09-06,53000.0,2022-04-20,578.0
C101619,Hina Durrani,M,peshawar,Self Employed,Khyber Pakhtunkhwa,2003-11-11,272900.0,10/10/2023,
C102195,Sana Durrani,M,Rawalpindi,Salaried - Private,Punjab,1992-02-10,43400.0,14/06/2025,658.0
C104913,Usman Ansari,M,Karachi,Salaried - Private,Sindh,1947-04-11,106100.0,2024-07-07,601.0
C111505,Maryam Chaudhry,Female,Peshawar,Business Owner,Khyber Pakhtunkhwa,1977-11-06,400900.0,2024-07-25,673.0
C102823,Imran Durrani,Male,Faisalabad,Self Employed,Punjab,1997-04-29,160600.0,2025-11-01,659.0
C100535,Noman Butt,F,Lahore,Salaried - Private,Punjab,1968-11-20,64400.0,2023-09-21,668.0
C105558,Nida Ansari,M,Lahore,Salaried - Private,Punjab,1987-10-30,,2023-07-06,460.0
C102952,Kamran Gul,F,Karachi,Business Owner,Sindh,1998-07-01,301200.0,05/11/2023,603.0
C111852,Komal Ansari,Male,Quetta,Student,Balochistan,1986-09-13,30300.0,27/06/2023,690.0
C106278,Tariq Ansari,F,Islamabad,Salaried - Private,Islamabad,1985-05-04,103100.0,27/04/2025,692.0
C104867,Rabia Raza,Female,Karachi,Student,Sindh,2007-12-09,,2025-05-10,562.0
C110345,Tariq Durrani,F,Karachi,Freelancer,Sindh,1972-10-06,155200.0,2025-01-06,549.0
C107743,Zara Gul,M,lahore,Salaried - Private,Punjab,1991-07-31,94000.0,05/02/2023,682.0
C110448,Tariq Ansari,F,KARACHI,Salaried - Government,Sindh,1977-01-27,74900.0,25/11/2022,597.0
C107052,Komal Gul,M,Quetta,Self Employed,Balochistan,2007-06-02,54900.0,2022-10-10,
C108288,Nida Butt,M,Karachi ,Salaried - Private,Sindh,2001-07-21,77700.0,23/03/2024,589.0
C110735,Farah Malik,M,Faisalabad,Self Employed,Punjab,1976-03-29,116000.0,2025-02-20,543.0
C108861,Komal Chaudhry,F,Lahore ,Business Owner,Punjab,1971-04-06,,01/03/2022,695.0
C100517,Maryam Baloch,M,Karachi,Student,Sindh,1991-11-18,45100.0,2024-09-12,591.0
C107474,Kamran Khan,Male,Lahore,Salaried - Private,Punjab,1985-01-28,44400.0,2024-03-14,697.0
C111426,Zara Shaikh,Female,Karachi,Salaried - Private,Sindh,1987-06-09,130600.0,18/06/2023,686.0
C108529,Tariq Baloch,M,LHR,Business Owner,Punjab,1974-02-06,164400.0,2025-07-31,711.0
C111849,Nida Malik,M,Multan,Salaried - Government,Punjab,1991-03-28,98100.0,2024-08-22,528.0
C106691,Farah Shaikh,F,Lahore,Student,Punjab,1994-06-29,18100.0,2024-09-22,821.0
C111193,Shahid Shaikh,Male, Karachi ,Salaried - Private,Sindh,1976-10-11,113000.0,06/06/2023,489.0
C111408,Kamran Butt,F,Multan,Salaried - Government,Punjab,1994-11-06,48800.0,2022-12-19,647.0
C103790,Tariq Baloch,Female,Hyderabad,Business Owner,Sindh,1989-03-26,246100.0,2023-05-23,602.0
C105330,Sadia Durrani,F,Rawalpindi,Salaried - Government,Punjab,1973-07-08,196900.0,2024-03-08,584.0
C104196,Farah Raza,M,Sialkot,Business Owner,Punjab,1996-04-01,177000.0,04/07/2025,681.0
C110325,Komal Abbasi,M,karachi,Salaried - Private,Sindh,1991-01-20,81200.0,2024-07-02,673.0
C101098,Rabia Baloch,F,Lahore,Salaried - Private,Punjab,1989-06-14,73400.0,2025-06-23,464.0
C103038,Ayesha Qureshi,M,Lahore,Salaried - Private,Punjab,1993-06-04,141300.0,2024-07-20,669.0
C102861,Sana Abbasi,M,Karachi,Business Owner,Sindh,1983-08-04,330400.0,2025-06-20,719.0
C102909,Hina Malik,F,Lahore,Salaried - Private,Punjab,1983-01-15,91500.0,2023-06-29,650.0
C103426,Fahad Raza,Male,Islamabad,Salaried - Private,Islamabad,1974-08-01,84300.0,2025-04-14,697.0
C100755,Ahmed Chaudhry,M,Rawalpindi,Retired,Punjab,1989-09-18,28700.0,2023-12-06,787.0
C104802,Imran Qureshi,F,Karachi ,Salaried - Private,Sindh,2006-03-04,89200.0,2022-08-02,685.0
