account_id,customer_id,account_type,branch_id,open_date,current_balance_pkr,status,balance_flagged_negative
A500059,C100036,Savings,BR1001,2025-08-15,52111.95,ACTIVE,False
A500060,C100037,Savings,BR1023,2026-07-29,157671.43,ACTIVE,False
A500061,C100037,Current,BR1016,2025-09-16,357061.88,ACTIVE,False
A500062,C100038,Current,BR1020,2023-11-04,572518.77,ACTIVE,False
A500063,C100039,Savings,BR1032,2024-08-31,93812.47,ACTIVE,False
A500064,C100039,Savings,BR1002,2023-09-29,86000.42,ACTIVE,False
A500065,C100040,Savings,BR1034,2023-10-07,172118.82,DORMANT,False
A500066,C100040,Current,BR1017,2024-02-02,407777.15,CLOSED,False
A500067,C100041,Current,BR1021,2023-07-24,717427.72,ACTIVE,False
A500068,C100041,Current,BR1015,2024-06-26,160390.8,ACTIVE,False
A500069,C100042,Current,BR1012,2026-03-10,360623.53,ACTIVE,False
A500070,C100043,Savings,BR1031,2024-03-16,30368.16,ACTIVE,False
A500071,C100044,Savings,BR1031,2023-02-21,144074.03,ACTIVE,False
A500072,C100045,Savings,BR1027,2026-02-20,132659.54,ACTIVE,False
A500073,C100045,Savings,BR1030,2026-09-16,612371.1,ACTIVE,False
A500074,C100046,Savings,BR1020,2025-08-29,42740.54,ACTIVE,False
A500075,C100047,Savings,BR1016,2022-08-17,137858.67,ACTIVE,False
A500076,C100047,Current,BR1005,2022-10-13,973931.41,ACTIVE,False
A500077,C100048,Current,BR1004,2024-07-03,976552.53,ACTIVE,False
A500078,C100049,Savings,BR1008,2025-11-23,556253.85,ACTIVE,False
A500079,C100049,Savings,BR1025,2025-10-17,91854.14,ACTIVE,False
A500080,C100050,Current,BR1024,2023-04-07,907034.37,DORMANT,False
A500081,C100050,Savings,BR1006,2022-06-04,190043.03,ACTIVE,False
A500082,C100050,Current,BR1003,2022-08-24,784614.27,ACTIVE,False
A500083,C100051,Savings,BR1009,2023-09-28,54137.75,DORMANT,False
A500084,C100051,Savings,BR1032,2023-01-05,151828.25,ACTIVE,False
A500085,C100051,Current,BR1022,2023-07-15,1361756.6,ACTIVE,False
A500086,C100052,Savings,BR1021,2024-09-06,345390.36,ACTIVE,False
A500087,C100053,Term Deposit,BR1032,2025-09-03,3039369.62,ACTIVE,False
A500088,C100054,Savings,BR1030,2024-02-01,112125.53,DORMANT,False
A500089,C100055,Current,BR1005,2023-02-26,92999.92,ACTIVE,False
A500090,C100056,Savings,BR1006,2025-07-20,144575.88,ACTIVE,False
A500091,C100056,Term Deposit,BR1012,2025-06-01,423670.47,DORMANT,False
A500092,C100057,Savings,BR1007,2025-10-21,112583.05,DORMANT,False
A500093,C100057,Current,BR1008,2025-07-13,514332.15,ACTIVE,False
A500094,C100058,Savings,BR1012,2024-01-13,153468.08,ACTIVE,False
A500095,C100059,Savings,BR1027,2023-12-17,221715.9,CLOSED,False
A500096,C100059,Term Deposit,BR1031,2024-01-16,1017036.5,ACTIVE,False
A500097,C100060,Current,BR1008,2025-03-16,278089.4,ACTIVE,False
A500098,C100061,Current,BR1026,2024-11-27,778182.07,ACTIVE,False
A500099,C100062,Savings,BR1005,2022-10-18,30199.29,ACTIVE,False
A500100,C100062,Current,BR1020,2022-02-17,437812.2,ACTIVE,False
A500101,C100063,Savings,BR1027,2025-11-03,113692.06,ACTIVE,False
A500102,C100063,Term Deposit,BR1023,2025-09-21,5548262.0,ACTIVE,False
A500103,C100064,Savings,BR1025,2024-07-02,266990.77,ACTIVE,False
A500104,C100065,Savings,BR1017,2025-08-20,719577.43,ACTIVE,False
A500105,C100065,Current,BR1027,2024-10-07,820036.54,DORMANT,False
A500106,C100066,Current,BR1030,2024-10-18,1433690.29,ACTIVE,False
A500107,C100067,Savings,BR1016,2022-07-07,99107.73,DORMANT,False
A500108,C100068,Savings,BR1022,2025-09-21,71427.34,ACTIVE,False
A500109,C100069,Savings,BR1013,2025-07-21,196588.36,ACTIVE,False
A500110,C100069,Current,BR1033,2025-08-01,531054.58,DORMANT,False
A500111,C100070,Current,BR1026,2025-12-10,256545.73,ACTIVE,False
A500112,C100071,Current,BR1025,2024-04-28,380616.86,ACTIVE,False
A500113,C100072,Current,BR1036,2024-01-30,282983.23,DORMANT,False
A500114,C100073,Savings,BR1017,2022-12-11,151892.84,CLOSED,False
A500115,C100074,Current,BR1029,2023-09-06,470872.41,ACTIVE,False
A500116,C100075,Savings,BR1009,2023-08-14,366915.54,ACTIVE,False
A500117,C100076,Current,BR1008,2024-06-21,2063588.5,ACTIVE,False
A500118,C100077,Savings,BR1035,2025-05-04,119927.8,ACTIVE,False
A500119,C100078,Current,BR1013,2025-10-13,349055.02,ACTIVE,False
A500120,C100078,Savings,BR1025,2025-05-06,618411.96,ACTIVE,False
A500121,C100078,Current,BR1012,2025-05-20,387008.1,ACTIVE,False
A500122,C100079,Savings,BR1005,2024-06-05,440974.86,ACTIVE,False
A500123,C100079,Current,BR1027,2024-06-07,800218.32,ACTIVE,False
A500124,C100080,Savings,BR1014,2022-06-02,917402.77,ACTIVE,False
A500125,C100080,Savings,BR1005,2023-01-06,560354.34,ACTIVE,False
A500126,C100081,Savings,BR1009,2025-10-22,103491.73,ACTIVE,False
A500127,C100082,Current,BR1035,2025-11-07,1558157.25,ACTIVE,False
A500128,C100083,Current,BR1035,2024-12-08,3782080.08,ACTIVE,False
A500129,C100084,Current,BR1023,2025-07-20,56340.33,ACTIVE,False
A500130,C100085,Current,BR1012,2026-03-04,292976.73,DORMANT,False
A500131,C100086,Term Deposit,BR1026,2024-07-08,668630.26,ACTIVE,False
A500132,C100087,Current,BR1030,2024-12-17,1982837.54,DORMANT,False
A500133,C100087,Savings,BR1034,2024-07-04,221438.28,CLOSED,False
A500134,C100087,Savings,BR1015,2024-04-27,97981.61,ACTIVE,False
A500135,C100088,Current,BR1032,2025-05-07,226016.51,ACTIVE,False
A500136,C100089,Current,BR1012,2024-04-21,358065.21,ACTIVE,False
A500137,C100090,Current,BR1009,2025-07-21,201768.86,ACTIVE,False
A500138,C100090,Savings,BR1014,2025-07-10,20640.45,ACTIVE,False
A500139,C100090,Savings,BR1003,2026-01-05,883837.95,ACTIVE,False
A500140,C100091,Current,BR1019,2024-01-11,181007.12,ACTIVE,False
A500141,C100091,Savings,BR1032,2023-01-19,169451.44,ACTIVE,False
A500142,C100092,Current,BR1014,2024-02-09,1388332.01,ACTIVE,False
A500143,C100092,Current,BR1023,2024-06-25,1022824.89,ACTIVE,False
A500144,C100093,Savings,BR1013,2025-11-21,377066.87,ACTIVE,False
A500145,C100094,Savings,BR1024,2023-07-04,97801.63,ACTIVE,False
A500146,C100094,Term Deposit,BR1028,2023-01-08,1087533.34,ACTIVE,False
A500147,C100095,Current,BR1036,2025-03-02,243339.18,ACTIVE,False
A500148,C100095,Savings,BR1022,2024-09-20,29496.15,ACTIVE,False
A500149,C100095,Current,BR1017,2024-06-11,351282.26,ACTIVE,False
A500150,C100096,Current,BR1012,2025-04-30,2523951.05,ACTIVE,False
A500151,C100097,Savings,BR1007,2026-03-08,123690.4,ACTIVE,False
A500152,C100097,Savings,BR1005,2026-02-26,307370.93,ACTIVE,False
A500153,C100098,Savings,BR1026,2023-02-01,446674.1,ACTIVE,False
A500154,C100099,Current,BR1029,2024-12-06,4507658.19,ACTIVE,False
A500155,C100100,Savings,BR1016,2024-04-08,96589.04,ACTIVE,False
A500156,C100101,Term Deposit,BR1010,2024-08-28,342974.92,DORMANT,False
A500157,C100102,Savings,BR1001,2023-01-16,361327.61,ACTIVE,False
A500158,C100103,Savings,BR1028,2024-03-04,662376.51,ACTIVE,False
A500159,C100104,Term Deposit,BR1035,2025-04-24,538022.0,DORMANT,False
A500160,C100105,Savings,BR1017,2026-04-20,108495.78,ACTIVE,False
A500161,C100105,Term Deposit,BR1033,2025-10-22,732665.98,ACTIVE,False
A500162,C100106,Savings,BR1014,2026-02-28,49378.89,ACTIVE,False
A500163,C100107,Savings,BR1023,2025-05-09,55088.47,DORMANT,False
A500164,C100108,Savings,BR1005,2025-08-10,50654.95,ACTIVE,False
A500165,C100108,Savings,BR1020,2025-09-24,366698.34,ACTIVE,False
A500166,C100109,Term Deposit,BR1006,2024-12-16,3733278.28,ACTIVE,False
A500167,C100110,Savings,BR1024,2023-03-02,227375.1,DORMANT,False
A500168,C100110,Current,BR1006,2022-10-02,572111.8,ACTIVE,False
A500169,C100110,Current,BR1013,2022-05-31,582947.23,ACTIVE,False
A500170,C100111,Savings,BR1008,2024-11-06,121623.09,ACTIVE,False
A500171,C100111,Current,BR1017,2024-10-05,343704.65,DORMANT,False
A500172,C100112,Savings,BR1002,2022-12-24,113435.18,CLOSED,False
A500173,C100113,Savings,BR1031,2024-03-28,1067955.89,ACTIVE,False
A500174,C100114,Savings,BR1002,2025-10-20,111570.78,ACTIVE,False
A500175,C100115,Term Deposit,BR1003,2025-12-09,1546708.74,ACTIVE,False
A500176,C100116,Savings,BR1009,2024-08-21,84675.12,ACTIVE,False
A500177,C100116,Savings,BR1008,2024-07-28,197868.45,ACTIVE,False
A500178,C100117,Current,BR1010,2025-01-03,1241167.15,ACTIVE,False
A500179,C100117,Savings,BR1032,2025-01-16,176366.69,ACTIVE,False
A500180,C100118,Current,BR1021,2023-02-01,545372.26,ACTIVE,False
A500181,C100119,Savings,BR1004,2025-11-22,52659.85,ACTIVE,False
A500182,C100119,Savings,BR1025,2025-11-11,151152.34,ACTIVE,False
A500183,C100120,Savings,BR1024,2024-11-30,129284.22,ACTIVE,False
A500184,C100121,Current,BR1031,2024-09-12,950445.4,ACTIVE,False
A500185,C100122,Savings,BR1010,2025-01-03,295695.95,ACTIVE,False
A500186,C100122,Current,BR1032,2025-01-26,171532.86,ACTIVE,False
A500187,C100123,Savings,BR1021,2025-12-27,49700.73,ACTIVE,False
A500188,C100123,Savings,BR1019,2026-06-19,273628.53,ACTIVE,False
A500189,C100124,Savings,BR1016,2024-10-23,87681.17,ACTIVE,False
A500190,C100125,Savings,BR1036,2024-09-27,330014.49,ACTIVE,False
A500191,C100126,Savings,BR1005,2024-03-21,88011.49,ACTIVE,False
A500192,C100127,Current,BR1018,2023-11-13,608857.1,ACTIVE,False
A500193,C100128,Current,BR1024,2025-03-25,239730.77,CLOSED,False
A500194,C100129,Savings,BR1023,2024-07-04,87778.7,CLOSED,False
A500195,C100130,Current,BR1023,2022-08-07,459751.61,ACTIVE,False
A500196,C100130,Current,BR1001,2023-03-05,560155.69,ACTIVE,False
A500197,C100130,Current,BR1030,2023-01-16,170484.04,CLOSED,False
A500198,C100131,Savings,BR1029,2024-03-26,593368.23,ACTIVE,False
A500199,C100131,Savings,BR1027,2024-04-15,49063.5,ACTIVE,False
A500200,C100132,Current,BR1013,2026-08-25,497895.31,ACTIVE,False
A500201,C100132,Current,BR1010,2026-02-08,33944.43,ACTIVE,False
A500202,C100133,Current,BR1016,2022-05-28,776339.8,ACTIVE,False
A500203,C100133,Current,BR1035,2022-07-12,218542.19,ACTIVE,False
A500204,C100134,Current,BR1014,2025-07-10,169325.3,ACTIVE,False
A500205,C100135,Savings,BR1004,2025-12-31,2361906.53,ACTIVE,False
A500206,C100136,Current,BR1021,2025-07-17,1986642.46,ACTIVE,False
A500207,C100137,Current,BR1006,2023-06-17,358312.25,ACTIVE,False
A500208,C100137,Savings,BR1016,2023-05-31,454708.29,ACTIVE,False
A500209,C100138,Savings,BR1021,2023-08-02,366243.37,ACTIVE,False
A500210,C100138,Savings,BR1023,2023-07-25,52308.94,ACTIVE,False
A500211,C100138,Savings,BR1015,2023-11-12,210601.02,CLOSED,False
A500212,C100139,Term Deposit,BR1005,2025-06-19,3683839.46,ACTIVE,False
A500213,C100139,Savings,BR1029,2025-07-09,272948.89,ACTIVE,False
A500214,C100140,Savings,BR1003,2023-12-21,117339.4,ACTIVE,False
A500215,C100140,Savings,BR1031,2023-07-14,272860.93,ACTIVE,False
A500216,C100141,Savings,BR1032,2026-11-10,111221.08,ACTIVE,False
A500217,C100141,Savings,BR1012,2026-10-19,768316.19,ACTIVE,False
A500218,C100141,Current,BR1033,2026-04-07,981808.3,ACTIVE,False
A500219,C100142,Savings,BR1030,2025-01-01,79338.01,ACTIVE,False
A500220,C100142,Savings,BR1001,2024-03-16,1455314.0,ACTIVE,False
A500221,C100143,Current,BR1005,2024-04-12,530323.93,ACTIVE,False
A500222,C100143,Current,BR1003,2024-05-15,1048361.28,ACTIVE,False
A500223,C100144,Current,BR1033,2024-02-27,181416.29,ACTIVE,False
A500224,C100145,Savings,BR1012,2024-09-10,314755.45,ACTIVE,False
A500225,C100145,Current,BR1024,2023-09-17,552377.02,DORMANT,False
A500226,C100145,Current,BR1024,2024-01-16,297935.59,ACTIVE,False
A500227,C100146,Savings,BR1017,2023-03-08,665575.64,ACTIVE,False
A500228,C100147,Savings,BR1012,2024-06-05,286595.83,ACTIVE,False
A500229,C100147,Savings,BR1012,2023-08-12,48321.08,ACTIVE,False
A500230,C100147,Savings,BR1019,2023-10-07,32485.74,ACTIVE,False
A500231,C100148,Savings,BR1012,2025-02-22,58190.31,CLOSED,False
A500232,C100148,Savings,BR1024,2025-03-31,125599.39,ACTIVE,False
A500233,C100149,Current,BR1007,2022-08-10,1560340.68,ACTIVE,False
A500234,C100149,Current,BR1034,2023-01-23,199168.34,ACTIVE,False
A500235,C100150,Savings,BR1019,2022-06-09,398138.36,ACTIVE,False
A500236,C100151,Savings,BR1023,2024-02-22,599640.1,ACTIVE,False
A500237,C100152,Savings,BR1009,2022-12-25,133259.66,DORMANT,False
A500238,C100153,Term Deposit,BR1003,2024-03-07,518480.56,ACTIVE,False
A500239,C100153,Savings,BR1026,2024-03-10,448548.13,ACTIVE,False
A500240,C100154,Savings,BR1026,2025-11-21,232676.35,ACTIVE,False
A500241,C100154,Term Deposit,BR1029,2025-12-26,2012472.4,ACTIVE,False
A500242,C100155,Current,BR1031,2024-06-04,220789.34,ACTIVE,False
A500243,C100155,Current,BR1004,2024-09-03,246837.38,ACTIVE,False
A500244,C100156,Savings,BR1013,2023-06-04,61711.81,ACTIVE,False
A500245,C100157,Current,BR1004,2023-04-30,150216.81,ACTIVE,False
A500246,C100158,Savings,BR1024,2025-11-15,606624.39,CLOSED,False
A500247,C100159,Current,BR1032,2025-06-25,841246.86,ACTIVE,False
A500248,C100160,Current,BR1027,2025-03-26,276139.92,ACTIVE,False
A500249,C100161,Savings,BR1006,2023-11-12,100586.93,ACTIVE,False
A500250,C100162,Savings,BR1036,2025-02-09,391031.47,ACTIVE,False
A500251,C100162,Current,BR1017,2025-06-04,353317.39,ACTIVE,False
A500252,C100163,Savings,BR1035,2025-04-07,310825.97,DORMANT,False
A500253,C100163,Term Deposit,BR1029,2026-01-14,1909080.27,ACTIVE,False
A500254,C100164,Savings,BR1031,2023-01-21,110041.39,DORMANT,False
A500255,C100165,Savings,BR1032,2025-08-07,691923.12,ACTIVE,False
A500256,C100165,Savings,BR1020,2025-09-04,106914.25,ACTIVE,False
A500257,C100166,Term Deposit,BR1009,2024-06-08,1165586.98,ACTIVE,False
A500258,C100166,Savings,BR1024,2023-11-25,386718.68,ACTIVE,False
A500259,C100167,Savings,BR1025,2024-06-20,944779.01,ACTIVE,False
A500260,C100167,Current,BR1003,2023-10-17,458412.71,ACTIVE,False
A500261,C100168,Savings,BR1026,2025-08-08,878596.78,CLOSED,False
A500262,C100169,Term Deposit,BR1020,2026-02-06,2006536.31,ACTIVE,False
A500263,C100170,Current,BR1030,2025-08-24,284778.07,ACTIVE,False
A500264,C100170,Term Deposit,BR1011,2024-12-27,305326.42,ACTIVE,False
A500265,C100170,Savings,BR1010,2025-11-19,396330.99,ACTIVE,False
A500266,C100171,Savings,BR1026,2025-03-11,198815.76,ACTIVE,False
A500267,C100171,Savings,BR1025,2025-08-02,180801.67,DORMANT,False
A500268,C100171,Current,BR1004,2025-01-31,2227898.64,CLOSED,False
A500269,C100172,Savings,BR1034,2023-05-19,49718.63,DORMANT,False
A500270,C100172,Savings,BR1006,2023-03-30,250860.4,ACTIVE,False
A500271,C100173,Savings,BR1011,2026-06-05,1592772.41,ACTIVE,False
A500272,C100173,Savings,BR1014,2026-08-10,94004.03,DORMANT,False
A500273,C100173,Savings,BR1035,2026-09-06,127913.94,ACTIVE,False
A500274,C100174,Current,BR1027,2022-10-26,255647.62,ACTIVE,False
A500275,C100175,Savings,BR1022,2024-04-12,49289.01,DORMANT,False
A500276,C100176,Current,BR1028,2023-06-27,388005.81,ACTIVE,False
A500277,C100176,Current,BR1010,2023-07-28,382948.16,ACTIVE,False
A500278,C100177,Current,BR1022,2023-01-04,548928.06,ACTIVE,False
A500279,C100178,Savings,BR1002,2026-01-25,214638.96,ACTIVE,False
A500280,C100178,Savings,BR1022,2025-09-11,174925.01,ACTIVE,False
A500281,C100179,Savings,BR1019,2023-05-26,108574.32,ACTIVE,False
A500282,C100180,Savings,BR1022,2024-01-23,28040.14,ACTIVE,False
A500283,C100181,Current,BR1002,2025-05-02,2344917.74,ACTIVE,False
A500284,C100182,Current,BR1031,2024-12-07,2141161.97,ACTIVE,False
A500285,C100182,Current,BR1011,2024-11-10,354961.37,ACTIVE,False
A500286,C100183,Term Deposit,BR1006,2023-02-05,3095669.57,ACTIVE,False
A500287,C100183,Savings,BR1022,2023-09-16,304576.29,ACTIVE,False
A500288,C100184,Savings,BR1033,2025-08-19,62097.19,ACTIVE,False
A500289,C100184,Savings,BR1004,2025-06-26,1146106.27,CLOSED,False
A500290,C100184,Savings,BR1033,2025-09-27,227151.09,ACTIVE,False
A500291,C100185,Savings,BR1020,2023-06-01,67832.38,ACTIVE,False
A500292,C100186,Current,BR1036,2024-02-22,282504.31,ACTIVE,False
A500293,C100187,Savings,BR1024,2023-02-13,363748.08,ACTIVE,False
A500294,C100188,Current,BR1028,2024-04-08,660070.39,DORMANT,False
A500295,C100189,Savings,BR1008,2022-12-06,647506.37,ACTIVE,False
A500296,C100189,Current,BR1001,2022-04-03,338351.36,DORMANT,False
A500297,C100189,Savings,BR1022,2022-07-12,75572.83,ACTIVE,False
A500298,C100190,Savings,BR1036,2023-01-11,114353.39,CLOSED,False
A500299,C100190,Savings,BR1028,2022-09-15,693375.84,ACTIVE,False
A500300,C100191,Savings,BR1006,2022-04-11,416058.66,DORMANT,False
A500301,C100191,Savings,BR1014,2023-02-28,324290.87,ACTIVE,False
A500302,C100191,Savings,BR1005,2022-12-10,179610.12,ACTIVE,False
A500303,C100192,Current,BR1028,2025-05-11,246768.61,ACTIVE,False
A500304,C100193,Term Deposit,BR1011,2023-05-26,1548245.2,ACTIVE,False
A500305,C100193,Current,BR1036,2023-07-11,715361.79,ACTIVE,False
A500306,C100193,Savings,BR1022,2023-11-08,103743.99,ACTIVE,False
A500307,C100194,Savings,BR1013,2024-05-18,340243.5,ACTIVE,False
A500308,C100194,Savings,BR1009,2024-02-15,88736.37,ACTIVE,False
A500309,C100194,Savings,BR1026,2024-06-01,108464.37,ACTIVE,False
A500310,C100195,Savings,BR1014,2024-08-10,237651.08,ACTIVE,False
A500311,C100195,Savings,BR1015,2024-08-02,87175.42,ACTIVE,False
A500312,C100196,Savings,BR1027,2025-12-24,84969.02,CLOSED,False
A500313,C100197,Savings,BR1032,2025-02-07,720057.57,ACTIVE,False
A500314,C100198,Current,BR1014,2023-02-10,1556655.79,ACTIVE,False
A500315,C100199,Current,BR1032,2023-03-23,310837.07,ACTIVE,False
A500316,C100199,Savings,BR1024,2023-02-27,187729.35,ACTIVE,False
A500317,C100200,Current,BR1017,2023-02-09,536324.95,ACTIVE,False
A500318,C100200,Savings,BR1019,2023-06-18,506138.84,ACTIVE,False
A500319,C100201,Term Deposit,BR1017,2023-04-08,957458.86,ACTIVE,False
A500320,C100202,Savings,BR1035,2022-03-03,328918.4,ACTIVE,False
A500321,C100202,Savings,BR1008,2022-03-19,97265.5,ACTIVE,False
A500322,C100203,Savings,BR1025,2024-12-07,117203.0,ACTIVE,False
A500323,C100204,Savings,BR1005,2025-03-07,202042.99,ACTIVE,False
A500324,C100205,Current,BR1033,2024-09-07,254544.96,DORMANT,False
A500325,C100206,Current,BR1032,2024-02-13,2171060.39,ACTIVE,False
A500326,C100207,Savings,BR1004,2023-04-22,130720.36,ACTIVE,False
A500327,C100207,Current,BR1029,2023-05-01,92010.17,ACTIVE,False
A500328,C100208,Savings,BR1019,2023-03-25,78399.57,ACTIVE,False
A500329,C100208,Savings,BR1008,2024-03-03,27759.33,ACTIVE,False
A500330,C100208,Current,BR1007,2023-08-24,601828.66,ACTIVE,False
A500331,C100209,Savings,BR1019,2023-02-10,93579.42,ACTIVE,False
A500332,C100209,Current,BR1018,2023-03-30,1077254.22,ACTIVE,False
A500333,C100210,Savings,BR1031,2024-01-18,603692.82,ACTIVE,False
A500334,C100211,Savings,BR1011,2024-09-10,200932.82,ACTIVE,False
A500335,C100212,Savings,BR1001,2024-03-11,175742.74,ACTIVE,False
A500336,C100212,Savings,BR1005,2023-03-12,75999.69,ACTIVE,False
A500337,C100213,Savings,BR1021,2025-08-29,695112.11,ACTIVE,False
A500338,C100213,Savings,BR1026,2025-10-14,100097.99,ACTIVE,False
A500339,C100214,Savings,BR1012,2024-05-24,537247.1,ACTIVE,False
A500340,C100215,Current,BR1033,2025-09-18,635846.07,ACTIVE,False
A500341,C100215,Current,BR1027,2025-01-09,280447.12,ACTIVE,False
A500342,C100216,Savings,BR1009,2023-05-08,150279.71,ACTIVE,False
A500343,C100217,Current,BR1012,2025-07-20,278052.25,ACTIVE,False
A500344,C100218,Current,BR1034,2024-09-02,636373.83,ACTIVE,False
A500345,C100219,Current,BR1027,2025-06-14,99637.36,ACTIVE,False
A500346,C100220,Savings,BR1012,2026-01-26,22327.33,ACTIVE,False
A500347,C100220,Current,BR1018,2026-01-15,486825.84,ACTIVE,False
A500348,C100221,Savings,BR1013,2026-02-05,138709.12,ACTIVE,False
A500349,C100222,Current,BR1012,2024-11-13,379298.02,ACTIVE,False
A500350,C100223,Savings,BR1001,2025-09-10,135158.48,ACTIVE,False
A500351,C100223,Savings,BR1002,2025-12-10,114866.34,ACTIVE,False
A500352,C100223,Savings,BR1034,2025-11-27,91932.79,ACTIVE,False
A500353,C100224,Savings,BR1034,2025-10-02,207945.57,ACTIVE,False
A500354,C100225,Savings,BR1023,2022-11-07,50640.59,ACTIVE,False
A500355,C100226,Savings,BR1018,2024-06-30,470730.15,ACTIVE,False
A500356,C100227,Savings,BR1002,2024-11-27,599194.7,CLOSED,False
A500357,C100228,Savings,BR1020,2023-04-30,90689.04,ACTIVE,False
A500358,C100229,Current,BR1024,2025-02-05,35592.96,ACTIVE,False
A500359,C100229,Current,BR1024,2024-11-16,213237.88,ACTIVE,False
A500360,C100229,Savings,BR1034,2025-07-09,468628.39,ACTIVE,False
A500361,C100230,Current,BR1027,2026-01-16,351826.02,ACTIVE,False
A500362,C100231,Savings,BR1035,2024-06-28,84746.16,CLOSED,False
A500363,C100231,Current,BR1019,2024-02-08,591532.22,ACTIVE,False
A500364,C100231,Savings,BR1022,2023-12-26,237073.46,ACTIVE,False
A500365,C100232,Savings,BR1029,2023-08-04,161755.01,ACTIVE,False
A500366,C100233,Savings,BR1020,2025-04-01,211819.92,ACTIVE,False
